name,entryType,startTime,duration
d3SVG,measure,2521.3000000000466,34
d3GSVG,measure,2556.9000000001397,305.0999999998603
d3GCanvas,measure,2864.100000000093,194.89999999990687
g2V4Canvas,measure,3059.1999999999534,42.200000000186265
g2V5CanvasSpec,measure,3101.600000000093,158.5
vegaLiteSVG,measure,3260.3000000000466,44.10000000009313
plotSVG,measure,3304.600000000093,17.0999999998603
echartsCanvas,measure,3322.100000000093,32.5999999998603
